Page name,Measured loading time [ms]
CSPM#18-20-00_n_#DC-DevicesDC1,163.42
CSPM#23-13-00_w_#DC-CoilerDC2,122.96
CSPM#52-13-00_w_#DC-MandrelDC2,216.76
CSPM#18-21-00_n_#DC-DevicesDC2,130.05
CSPM#01-05-00_n_#CC-Overview,202.59
CSPM#23-16-00_n_#CC-CoilInspectionStation,613.01
CSPM#18-34-00_n_#CC-CC-Devices,133.49
i8Sys_w_Environment#Network,619
i8Sys_w_Environment_Fieldbus_Network_RM,242.4
i8Sys_w_Environment_Fieldbus_Network_FM,230.9
i8Sys_w_NodeRights,410.69
i8App_n_Connections,130.87
i8Sys_n_Information,125.48
i8Sys_w_UserRights,169.23
i8Sys_n_Database,122.69
i8Sys_n_Application,275.22
i8Sys_n_PdlStatistics,232.64
